scientific_name,common_name,status,inat_taxon_id,inat_returned_name
Lysichiton americanus,American skunk cabbage,widely spread,48537,Lysichiton americanus
Gunnera tinctoria,Chilean rhubarb,widely spread,77310,Gunnera tinctoria
Lagarosiphon major,Curly waterweed,widely spread,208800,Lagarosiphon major
Hydrocotyle ranunculoides,Floating pennywort,widely spread,60951,Hydrocotyle ranunculoides
Heracleum mantegazzianum,Giant hogweed,widely spread,1557658,Heracleum mantegazzianum
Impatiens glandulifera,Himalayan balsam,widely spread,47892,Impatiens glandulifera
Elodea nuttallii,Nuttall’s waterweed,widely spread,57623,Elodea nuttallii
Myriophyllum aquaticum,Parrot’s feather,widely spread,60202,Myriophyllum aquaticum
Alternanthera philoxeroides,Alligator weed,non-widely spread,75386,Alternanthera philoxeroides
Persicaria perfoliata,Asiatic tearthumb,non-widely spread,131249,Persicaria perfoliata
Cardiospermum grandiflorum,Balloon vine,non-widely spread,159852,Cardiospermum grandiflorum
Myriophyllum heterophyllum,Broadleaf watermilfoil,non-widely spread,165603,Myriophyllum heterophyllum
Andropogon virginicus,Broomsedge bluestem,non-widely spread,1619462,Anatherum virginicum
Lespedeza cuneata,Chinese bushclover,non-widely spread,164566,Lespedeza cuneata
Triadica sebifera,Chinese tallow,non-widely spread,79388,Triadica sebifera
Asclepias syriaca,Common milkweed,non-widely spread,47911,Asclepias syriaca
Pennisetum setaceum,Crimson fountain-grass,non-widely spread,430581,Cenchrus setaceus
Baccharis halimifolia,Eastern baccharis,non-widely spread,84813,Baccharis halimifolia
Cabomba caroliniana,Fanwort,non-widely spread,75921,Cabomba caroliniana
Ludwigia peploides,Floating primrose-willow,non-widely spread,60220,Ludwigia peploides
Acacia saligna,Golden wreath wattle,non-widely spread,75255,Acacia saligna
Humulus scandens,Japanese hop,non-widely spread,474366,Humulus scandens
Microstegium vimineum,Japanese stiltgrass,non-widely spread,116710,Microstegium vimineum
Pueraria lobata,Kudzu vine,non-widely spread,62666,Pueraria montana lobata
Prosopis juliflora,Mesquite,non-widely spread,1493168,Neltuma velutina
Solanum elaeagnifolium,Silverleaf nightshade,non-widely spread,79137,Solanum elaeagnifolium
Cortaderia selloana,Pampas grass,non-widely spread,64240,Cortaderia selloana
Cortaderia jubata,Andean pampas grass,non-widely spread,52714,Cortaderia jubata
Ludwigia grandiflora,Floating water primrose,non-widely spread,70020,Ludwigia hexapetala
Miconia calvescens,Velvet tree,non-widely spread,48888,Miconia calvescens
Salvinia molesta,Giant salvinia,non-widely spread,78976,Salvinia molesta
Eichhornia crassipes,Water hyacinth,non-widely spread,962637,Pontederia crassipes
Azolla filiculoides,Water fern,non-widely spread,58754,Azolla filiculoides
Acer pseudoplatanus,Sycamore Maple,TEST,1466281,Acer pseudoplatanus
